35	1	1
57	1	1
89	1	1
90	1	1
91	1	1
112	1	1
203	1	1
204	1	1
205	1	1
207	1	1
212	1	1
218	1	1
220	1	1
226	1	1
227	1	1
13	2	1
46	2	1
84	2	1
135	2	1
205	2	1
221	2	1
237	2	1
240	2	1
241	2	1
245	2	1
246	2	1
255	2	1
260	2	1
265	2	1
267	2	1
10	3	1
17	3	1
37	3	1
50	3	1
56	3	1
138	3	1
156	3	1
157	3	1
201	3	1
217	3	1
233	3	1
235	3	1
250	3	1
263	3	1
5	4	1
14	4	1
16	4	1
17	4	1
84	4	1
106	4	1
128	4	1
137	4	1
142	4	1
157	4	1
250	4	1
273	4	1
4	5	1
10	5	1
17	5	1
58	5	1
70	5	1
71	5	1
74	5	1
82	5	1
85	5	1
86	5	1
87	5	1
107	5	1
119	5	1
120	5	1
124	5	1
128	5	1
132	5	1
157	5	1
206	5	1
224	5	1
225	5	1
228	5	1
233	5	1
234	5	1
235	5	1
248	5	1
250	5	1
259	5	1
7	6	1
8	6	1
113	6	1
124	6	1
214	6	1
257	6	1
279	6	1
6	7	1
9	7	1
11	7	1
15	7	1
17	7	1
80	7	1
95	7	1
96	7	1
97	7	1
104	7	1
122	7	1
123	7	1
135	7	1
157	7	1
249	7	1
6	8	1
96	8	1
122	8	1
280	8	1
7	9	1
10	9	1
11	9	1
12	9	1
14	9	1
15	9	1
16	9	1
17	9	1
24	9	1
58	9	1
77	9	1
92	9	1
104	9	1
110	9	1
157	9	1
179	9	1
218	9	1
221	9	1
249	9	1
268	9	1
3	10	1
5	10	1
9	10	1
14	10	1
18	10	1
19	10	1
24	10	1
33	10	1
50	10	1
51	10	1
62	10	1
65	10	1
75	10	1
77	10	1
86	10	1
87	10	1
106	10	1
107	10	1
109	10	1
115	10	1
120	10	1
128	10	1
134	10	1
135	10	1
138	10	1
145	10	1
152	10	1
153	10	1
154	10	1
155	10	1
161	10	1
168	10	1
176	10	1
180	10	1
198	10	1
200	10	1
